institution,year,avg_sal,new_sal,ser_year,rate,ministry,gongtype
88관광개발(주),2016,56434.0,25892.0,18.0,3.0,국가보훈처,기타공공기관
88관광개발(주),2017,58444.0,32975.0,17.84,3.0,국가보훈처,기타공공기관
88관광개발(주),2018,61300.0,34678.0,21.4,3.0,국가보훈처,기타공공기관
88관광개발(주),2019,62344.0,35143.0,19.27,3.0,국가보훈처,기타공공기관
88관광개발(주),2020,62676.0,35075.0,234.0,3.0,국가보훈처,기타공공기관
88관광개발(주),2021,62676.0,35075.0,234.0,3.0,국가보훈처,기타공공기관
가축위생방역지원본부,2016,59728.0,25544.0,99.0,2.5,농림축산식품부,기타공공기관
가축위생방역지원본부,2017,60088.0,26062.0,99.0,2.5,농림축산식품부,기타공공기관
가축위생방역지원본부,2018,60792.0,26384.0,101.0,2.5,농림축산식품부,기타공공기관
가축위생방역지원본부,2019,66621.0,27241.0,116.0,2.5,농림축산식품부,기타공공기관
가축위생방역지원본부,2020,66239.0,27280.0,128.0,2.5,농림축산식품부,기타공공기관
가축위생방역지원본부,2021,63474.0,27015.0,139.0,2.5,농림축산식품부,기타공공기관
강릉원주대학교치과병원,2016,40350.0,19381.0,12.0,0.0,교육부,기타공공기관
강릉원주대학교치과병원,2017,40702.0,19790.0,12.0,0.0,교육부,기타공공기관
강릉원주대학교치과병원,2018,44002.0,20506.0,11.0,0.0,교육부,기타공공기관
강릉원주대학교치과병원,2019,43493.0,22513.0,110.88,0.0,교육부,기타공공기관
강릉원주대학교치과병원,2020,44497.0,23160.0,111.97,0.0,교육부,기타공공기관
강릉원주대학교치과병원,2021,45365.0,23494.0,123.97,0.0,교육부,기타공공기관
강원대학교병원,2016,53353.0,26909.0,96.0,3.1,교육부,기타공공기관
강원대학교병원,2017,56462.0,27900.0,90.0,3.1,교육부,기타공공기관
강원대학교병원,2018,56812.0,28228.0,83.0,3.1,교육부,기타공공기관
강원대학교병원,2019,57291.0,28977.0,82.0,3.1,교육부,기타공공기관
강원대학교병원,2020,55816.0,30094.0,80.0,3.1,교육부,기타공공기관
강원대학교병원,2021,56482.0,30365.0,0.0,3.1,교육부,기타공공기관
(주)강원랜드,2016,69641.0,37628.0,126.0,3.5,산업통상자원부,공기업(시장형)
(주)강원랜드,2017,71281.0,34628.0,133.0,3.5,산업통상자원부,공기업(시장형)
(주)강원랜드,2018,72554.0,37765.0,149.0,3.5,산업통상자원부,공기업(시장형)
(주)강원랜드,2019,74294.0,38939.0,157.0,3.5,산업통상자원부,공기업(시장형)
(주)강원랜드,2020,70676.0,36740.0,164.0,3.5,산업통상자원부,공기업(시장형)
(주)강원랜드,2021,76621.0,39941.0,167.0,3.5,산업통상자원부,공기업(시장형)
건강보험심사평가원,2016,60998.0,34411.0,137.0,3.6,보건복지부,준정부기관(위탁집행형)
건강보험심사평가원,2017,63280.0,36025.0,133.0,3.6,보건복지부,준정부기관(위탁집행형)
건강보험심사평가원,2018,63923.0,34693.0,131.0,3.6,보건복지부,준정부기관(위탁집행형)
건강보험심사평가원,2019,63608.0,35930.0,122.0,3.6,보건복지부,준정부기관(위탁집행형)
건강보험심사평가원,2020,65538.0,37932.0,127.0,3.6,보건복지부,준정부기관(위탁집행형)
건강보험심사평가원,2021,65871.0,38244.0,126.0,3.6,보건복지부,준정부기관(위탁집행형)
경북대학교병원,2016,62133.0,32239.0,147.0,3.4,교육부,기타공공기관
경북대학교병원,2017,64124.0,33769.0,153.0,3.4,교육부,기타공공기관
경북대학교병원,2018,65399.0,36267.0,141.0,3.4,교육부,기타공공기관
경북대학교병원,2019,65945.0,35321.0,152.0,3.4,교육부,기타공공기관
경북대학교병원,2020,67373.0,35497.0,138.0,3.4,교육부,기타공공기관
경북대학교병원,2021,69393.0,36599.0,139.0,3.4,교육부,기타공공기관
